"C00001","O"
"C16165","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC"
"C16166","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC"
"C16167","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC"
"C16168","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC"
"C16169","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC"
"C16170","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC"
"C16171","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC"
"C16172","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC"
"C16173","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC"
"C16178",
"C16179","C(CCCCCCC/C=C\C/C=C\C/C=C\CC)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16180","C(CCCCCCCC/C=C\C/C=C\CCCCC)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16181","[C@H]1([C@H]([C@@H]([C@H]([C@@H]([C@H]1O)Cl)Cl)Cl)Cl)Cl"
"C16182","[C@H]1([C@H]([C@@H]([C@H]([C@@H]([C@H]1O)Cl)Cl)O)Cl)Cl"
"C16186","[C@H]1(C(=C(C(=O)O1)O)O)C(COP(=O)(O)O)O"
"C16187","c1(ccc2c(c1)OC[C@H]([C@H]2O)c1c(cc(cc1)OC)O)O"
"C16188","c1(ccc2c(c1)occ(c2=O)c1cc(c(cc1OC)OC)OC)O"
"C16189","c1(ccc2c(c1)OC1C(C2=O)c2cc(c(cc2OC1)OC)OC)O"
"C16190","c1(ccc2c(c1)OC(C(C2=O)c1ccc(cc1)OC)O)O"
"C16191","c1(ccc2c(c1)occ(c2=O)c1ccc(cc1)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O"
"C16192","c1(cc(c2c(c1)occ(c2=O)c1ccc(cc1)O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O"
"C16193","c1c(cc2c(c1)c(ccc2)S(=O)(=O)O)S(=O)(=O)O"
"C16194","c1c(cc2c(c1)cc(cc2)S(=O)(=O)O)S(=O)(=O)O"
"C16195","c1(c(cc2c(c1)occ(c2=O)c1ccc(cc1)O)OC)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO"
"C16196","c1c(cc2c(c1)c(c(cc2)O)O)S(=O)(=O)O"
"C16197","c1(c(cc2c(c1)occ(c2=O)c1ccc(cc1)O)OC)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O"
"C16198","c1c(cc(c(c1)O)/C=C\C(=O)C(=O)O)S(=O)(=O)O"
"C16199","c1c(cc(c(c1)O)C(=O)O)S(=O)(=O)O"
"C16200","c1ccccc1B(O)O"
"C16201","c1ccc2c(c1)c(ccc2)S(=O)(=O)O"
"C16202","c1ccc2c(c1)cc(cc2)S(=O)(=O)O"
"C16203","c1ccc2c(c1)cc1c(c2)C=C[C@@H]([C@@H]1O)O"
"C16204","c1ccc2c(c1)cc1c(c2)ccc(c1O)O"
"C16205","c1ccc2c(c1)C(c1c(C2O)cccc1)O"
"C16206","c1ccc2c(c1)c(c1c(c2O)cccc1)O"
"C16207","c1ccc2c(c1)C(=O)c1c(C2=O)cccc1"
"C16208","c1ccc2c(c1)cc1c(c2)ccc(c1OC)O"
"C16209","c1ccc2c(c1)cc(c(c2)/C=C/C(=O)O)C(=O)O"
"C16210","c1ccc2c(c1)cc(c(c2)/C=C/C(=O)C(=O)O)O"
"C16211","c1ccc2c(c1)cc1c(c2)ccc(=O)o1"
"C16212","c1ccc2c(c1)cc(c(c2)C(=O)O)O"
"C16213","c1ccc2c(c1)cc(c(c2)O)O"
"C16214","c1cc/c(=C\C(=O)C(=O)O)/c(=C\C(=O)O)/c1"
"C16215","C1=CC(C(C=C1)C(=O)O)C(=O)O"
"C16216","C(C(=O)CCCCCCCCCCCCCCC)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16217","C(C(CCCCCCCCCCCCCCC)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16218","C(=C\CCCCCCCCCCCCCCC)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16219","CCCCCCCCCCCCCCCC(=O)CC(=O)S*"
"C16220","CCCCCCCCCCCCCCC[C@H](CC(=O)S*)O"
"C16221","CCCCCCCCCCCCCCC/C=C/C(=O)S*"
"C16222","c1(ccc2c(c1)occ(c2=O)c1ccc(cc1)OC)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O"
"C16223","c1(ccc2c(c1)OC[C@@H]1[C@H]2Oc2c1ccc(c2)OC)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O"
"C16224","c1(ccc2c(c1)OC[C@@H]1[C@H]2Oc2c1ccc(c2)OC)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O"
"C16225","c1(ccc2c(c1)OC[C@H](C2)c1c(cc(cc1)OC)O)O"
"C16226","c1(ccc2c(c1)occ(c2=O)c1c(cc2c(c1)OCO2)O)O"
"C16227","c1(ccc2c(c1)OC[C@@H](C2=O)c1c(cc2c(c1)OCO2)O)O"
"C16228","c1(ccc2c(c1)OC[C@H](C2=O)c1c(cc2c(c1)OCO2)O)O"
"C16229","c1(ccc2c(c1)OC[C@H]1[C@@H]2Oc2c1cc1c(c2)OCO1)O"
"C16230","c1(ccc2c(c1)OC[C@]1([C@@H]2Oc2c1cc1c(c2)OCO1)O)O"
"C16231","c1(ccc2c(c1)OC[C@@H]1[C@H]2Oc2c1cc1c(c2)OCO1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O"
"C16232","c1(c(cc2c(c1)OC(CC2=O)c1ccc(cc1)O)O)O"
"C16233","c1(c(cc2c(c1)OC(C(C2=O)c1ccc(cc1)O)O)O)O"
"C16234","c1cccc(c1C(=O)O)[N+](=O)[O-]"
"C16235","c1cccc(c1C(=O)O)NO"
"C16236","C(CCCCC(=O)N*)CC"
"C16237","S1SCC[C@H]1CCCCC(=O)N*"
"C16238","S1SCC[C@H]1CCCCC(=O)OP(=O)(OC[C@H]1O[C@@H](n2c3c(nc2)c(ncn3)N)[C@@H]([C@@H]1O)O)O"
"C16239","S1SCC[C@H]1CCCCC(=O)S*"
"C16241","S1SCC[C@H]1CCCCC(=O)O"
"C16242","C12=CC3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C4=CC5=NC(=C([C@]5(CCC(=O)O)C)CC(=O)O)C5(N2[Co]N34)[C@]([C@@H]1CCC(=O)O)(CC(=O)OC5C)C)CCC(=O)O)CC(=O)O)C"
"C16243","C12=CC3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C4=CC5=NC(=C(N2[Co]N34)[C@]([C@@H]1CCC(=O)O)(CC(=O)O)C)[C@@H]([C@]5(CCC(=O)O)C)CC(=O)O)CCC(=O)O)CC(=O)O)C"
"C16244","C\1/2=C/C3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C(=N3)C(C3=N[C@@H]([C@](N2[Co])([C@]([C@@H]1CCC(=O)O)(CC(=O)O)C)C)[C@@H]([C@]3(CCC(=O)O)C)CC(=O)O)C)CCC(=O)O)C)C"
"C16246","c1(cc(c(c(c1)Br)O)Br)C(=O)N"
"C16247","c1cc(c(c(c1)Br)O)Br"
"C16248","c1(cc(c(c(c1)Br)O)Br)O"
"C16249","C(=O)(/C=C(\C(=O)O)/Br)CC(=O)O"
"C16250","c1(c(nc[nH]1)C(=O)N)/N=N/NC"
"C16251","C1[C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)C2[C@](CC1)([C@H](CC2)[C@@H]([C@H](C[C@H](C(C)C)C)O)C)C)C)O"
"C16252","C1[C@@H](CC2=CC[C@@H]3[C@@H]([C@]2(C1)C)CC[C@]1(C3CC[C@@H]1[C@@H]([C@H]([C@@H]([C@H](C(C)C)C)O)O)C)C)O"
"C16253","C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)C2[C@](CC1)([C@H](CC2)[C@@H]([C@H]([C@@H]([C@H](C(C)C)C)O)O)C)C)C"
"C16254","C(CCCCC(=O)N*)(CCSC(=O)CCC(=O)O)S"
"C16255","C(CCCCC(=O)N*)(CCSC(=O)C)S"
"C16257","[C@H](Cc1ccccc1)(O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16262","c1ccc2c(c1)C(=O)[C@@]1(C2=CC=C[C@H]1O)O"
"C16263","c1cc(c(cc1)C(=O)O)c1c(c(ccc1)O)O"
"C16264","c1cc(c(cc1)C(=O)O)C(=O)/C=C\C=C(\O)/C(=O)O"
"C16266","O=C/C=C\C(=C(/C(=O)O)\O)\Cl"
"C16267","C1(C(=O)O)CC1"
"C16268","C1(CC1)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16269","[C@]123C(=C(C([C@@H](C2)CC3)(C)C)C)CC[C@@H]1C"
"C16270","CC(CCC/C(=C/C=C/C(=C/C=C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)/C=O)/C)/C)(O)C"
"C16271","[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OC(CCC/C(=C/C=C/C(=C/C=C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)/C=O)/C)/C)(C)C"
"C16272","CC(=O)CC(CC(=O)O)O"
"C16273","CC(=O)CC(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)O"
"C16274","CC([C@H](/C=C/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C=C/[C@@H](C(C)(O)C)O)\C)\C)\C)/C)/C)/C)O)(O)C"
"C16275","[C@H]1(O[C@H]([C@H]([C@H]([C@@H]1O)O)O)C)O[C@@H](/C=C/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C=C/[C@@H](C(C)(O)C)O[C@@H]1O[C@H]([C@H]([C@H]([C@@H]1O)O)O)C)\C)\C)\C)/C)/C)/C)C(C)(O)C"
"C16276","C1CC=C(C(C1(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1C(CCC=C1C)(C)C)\C)\C)/C)/C)C"
"C16277","CC(CCC(=O)/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)(OC)C"
"C16278","CC(CCC(=O)/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C(=O)CCC(C)(OC)C)\C)\C)\C)/C)/C)/C)(OC)C"
"C16279","C1(=C(CCCC1(C)C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C(=O)CCC(C)(OC)C)\C)\C)\C)/C)/C"
"C16280","c1(/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C(=O)CCC(C)(OC)C)\C)\C)\C)/C)/C)c(c(c(cc1)C)C)C"
"C16281","c1ccccc1C(=S)N"
"C16282","C1(=C(C[C@H](CC1(C)C)O)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C[C@H]([C@@H](C1(C)C)O)O)C)\C)\C)/C)/C"
"C16283","c1ccccc1C(=S=O)N"
"C16284","C1(=C(C[C@H]([C@@H](C1(C)C)O)O)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C[C@H]([C@@H](C1(C)C)O)O)C)\C)\C)/C)/C"
"C16285","c1ccccc1C(=N)S(=O)O"
"C16286","C1C[C@@H]([C@@]2([C@@](C1)(CCCC2)C)O)C"
"C16288","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)OC(=O)CC(=O)O)O)c1ccc(cc1)O)O)O"
"C16289","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)OC(=O)CC(=O)O)O)c1cc(c(cc1)O)O)O)O"
"C16290","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)OC(=O)CC(=O)O)O)c1cc(c(c(c1)O)O)O)O)O"
"C16291","C1CCC(=C(C1(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/CCC1=C(CCCC1(C)C)C)\C)\C)/C)/C)C"
"C16292","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)/C=C/c1ccc(cc1)O)O)O)O)O)O)c1cc(c(cc1)O)O"
"C16293","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)/C=C/c1ccc(cc1)O)O)O)O)O)O)c1cc(c(cc1)O)OC"
"C16294","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)/C=C/c1ccc(cc1)O)O)O)O)O)O)c1cc(c(c(c1)O)O)O"
"C16295","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)/C=C/c1ccc(cc1)O)O)O)O)O)O)c1cc(c(c(c1)O)O)OC"
"C16296","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)/C=C/c1ccc(cc1)O)O)O)O)O)O)c1cc(c(c(c1)OC)O)OC"
"C16297","c12c(cc(cc1O)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccc(c(c1)O)O)O)O)O)c1ccc(cc1)O"
"C16298","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O)c1cc(c(cc1)O)O"
"C16299","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)CC(=O)O)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccc(cc1)O)O)O)O)c1cc(c(cc1)O)O"
"C16300","C(=C\C/C=C\C/C=C\C/C=C\CC)\CCCCC(=O)O"
"C16301","c12c(cc(cc1O)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O)c1cc(c(c(c1)O)O)O"
"C16302","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O)c1cc(c(c(c1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)/C=C/c1ccc(cc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccc(cc1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccc(cc1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)/C=C/c1ccc(cc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O)O)O"
"C16303","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O)c1cc(c(c(c1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O"
"C16304","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)CC(=O)O)O)O)O)c1cc(c(c(c1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O)O)O"
"C16305","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1ccc(cc1)O)O)O"
"C16306","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1cc(c(cc1)O)O)O)O"
"C16307","c1(cc(c2c(c1)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1cc(c(c(c1)O)O)O)O)O"
"C16308","O=C(/C=C/CCCCCCCCC(=O)O)O"
"C16309","O=C/C=C/CCCCCCCCC(=O)O"
"C16310","C(=O)C/C=C\CC"
"C16311","OC(=O)CCCCCCC/C=C\CC=O"
"C16312","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1cc(c(c(c1)O)O)O"
"C16313","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COC(=O)/C=C/c1cc(c(cc1)O)O)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1cc(c(c(c1)O)O)O"
"C16314","c12c(cc(cc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)c1cc(c(c(c1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C16315","c12c(cc(cc1O)O)[o+]c(c(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)O)O)c1cc(c(c(c1)O)O)O"
"C16316","[C@@H](/C=C/C=C\CCCCCCCC(=O)O)(C/C=C\CC)O"
"C16317","[C@@H]1([C@H](CCC1=O)CC(=O)O)C/C=C\CC"
"C16318","[C@@H]1([C@H](CCC1=O)CC(=O)OC)C/C=C\CC"
"C16319","O(/C=C/C=C\CC)/C=C/C=C\CCCCCCCC(=O)O"
"C16320","O(/C=C/C=C\C/C=C\CC)/C=C/CCCCCCC(=O)O"
"C16321","C(C[C@@H](/C=C/C=C\C/C=C\CC)OO)CCCCCC(=O)O"
"C16322","C(=O)CCCCCCCC(=O)O"
"C16323","CC/C=C\C/C=C\CC=O"
"C16324","C(CC1/C(=C/C=C\C/C=C\CC)/O1)CCCCCC(=O)O"
"C16325","[C@H]1([C@@H](C(=O)C=C1)CCCCCCCC(=O)O)C/C=C\CC"
"C16326","C(C[C@H](O)/C=C/C=C\C/C=C\CC)CCCCCC(=O)O"
"C16327","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16328","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16330","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16331","C(CCCC[C@@H]1[C@@H](C(=O)CC1)C/C=C\CC)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16332","C(=C\CCC[C@@H]1[C@@H](C(=O)CC1)C/C=C\CC)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16334","C(C(=O)CCC[C@@H]1[C@@H](C(=O)CC1)C/C=C\CC)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16335","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16336","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16338","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16339","[C@H]1([C@@H](C(=O)CC1)C/C=C\CC)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C16340","c1(ccc(c(c1C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C)/C)/C)C)C"
"C16341","C(C/C=C\C/C=C\C/C=C\CC)CCCC[C@H](C(=O)O)OO"
"C16342","C(C/C=C\C/C=C\C/C=C\CC)CCCC[C@H](C(=O)O)O"
"C16343","C(/C=C\C/C=C\C/C=C\CC)CCCCCC=O"
"C16344","C(/C=C\C/C=C\C/C=C\CC)CCCCCC(=O)O"
"C16345","C(C/C=C\C/C=C\C/C=C\C(C)O)CCCCCC(=O)NC(C(=O)O)CCC(=O)N"
